group,replicate,fastq_1,fastq_2,strandedness
X044_2D_fluffy_L1,1,NGS_M_Sheridan_40616_run1/X044_2D_fluffy_L001_ds.c9b9181b17394c94976922d841b551d3/X044-2D-fluffy_S33_L001_R1_001.fastq.gz, ,reverse
X044_2D_fluffy_L2,1,NGS_M_Sheridan_40616_run1/X044_2D_fluffy_L002_ds.10ba5cab000349dabc49d22b3f2883b4/X044-2D-fluffy_S33_L002_R1_001.fastq.gz, ,reverse
X044_2D_fluffy_L3,1,NGS_M_Sheridan_40616_run1/X044_2D_fluffy_L003_ds.d775d3bc188045c3b35f719cbd242ed9/X044-2D-fluffy_S33_L003_R1_001.fastq.gz, ,reverse
X044_2D_fluffy_L4,1,NGS_M_Sheridan_40616_run1/X044_2D_fluffy_L004_ds.7f5bf4c725c84c30a9a6032982a8ab52/X044-2D-fluffy_S33_L004_R1_001.fastq.gz, ,reverse
X076_3D_fluffy_L1,1,NGS_M_Sheridan_40616_run1/X076_3D_fluffy_L001_ds.1b1e4bcfaa8443b783ef0390bc4f886a/X076-3D-fluffy_S31_L001_R1_001.fastq.gz, ,reverse
X076_3D_fluffy_L2,1,NGS_M_Sheridan_40616_run1/X076_3D_fluffy_L002_ds.bbebefd8e9584335b7875ed0a9c0b015/X076-3D-fluffy_S31_L002_R1_001.fastq.gz, ,reverse
X076_3D_fluffy_L3,1,NGS_M_Sheridan_40616_run1/X076_3D_fluffy_L003_ds.fdab323f17384638a5861017fce679e9/X076-3D-fluffy_S31_L003_R1_001.fastq.gz, ,reverse
X076_3D_fluffy_L4,1,NGS_M_Sheridan_40616_run1/X076_3D_fluffy_L004_ds.f4e60d21f7cf40f793e65d9ef539e420/X076-3D-fluffy_S31_L004_R1_001.fastq.gz, ,reverse
X104_3D_fluffy_L1,1,NGS_M_Sheridan_40616_run1/X104_3D_fluffy_L001_ds.07929d95a87848daa1421722fb509dfd/X104-3D-fluffy_S32_L001_R1_001.fastq.gz, ,reverse
X104_3D_fluffy_L2,1,NGS_M_Sheridan_40616_run1/X104_3D_fluffy_L002_ds.8180c2cc0a7e4e0f95bf05acc815b638/X104-3D-fluffy_S32_L002_R1_001.fastq.gz, ,reverse
